model,rmse,mae,precision@10,recall@10,ndcg@10,hit_rate@10,coverage@10,novelty@10,mean_train_popularity@10,evaluated_users,candidates
Popularity,0.9717693255857865,0.7743740302118568,0.623155505107832,0.21464560522718676,0.6635842275289511,0.9534619750283768,0.14215812516095802,10.074349465475704,1061.583995459705,1762,288460
SVD,1.0791947677906923,0.8717742640142564,0.527639046538025,0.18825669900169642,0.5797530605143849,0.9375709421112373,0.4877671903167654,10.878502798452123,754.8759364358683,1762,288460
